beat_id,rank,origin,asset_id,provider,video_id,query,semantic_score,final_score,width,height,duration,contributor,page_url,filename,status,error
B001,1,library,pexels:12258246,pexels,12258246,calm sea before sunrise,0.14457306653261184,0.17457306653261184,3840,2160,60.0,Lies,https://www.pexels.com/video/relaxing-view-of-breaking-waves-in-slow-motion-12258246/,B001_PEXELS_12258246.mp4,reused,
B001,2,library,pexels:27980380,pexels,27980380,ocean blue hour wide,0.13725318679213525,0.16725318679213524,3840,2160,15.0,Thanawut Theerakul,https://www.pexels.com/video/a-view-of-the-ocean-from-a-boat-27980380/,B001_PEXELS_27980380.mp4,reused,
B002,1,library,pixabay:181816,pixabay,181816,wet coastal rocks dawn,0.12882188414037227,0.15882188414037227,1920,1080,28.0,Mario_Krimer,https://pixabay.com/videos/id-181816/,B002_PIXABAY_181816.mp4,reused,
B002,2,library,pixabay:358508,pixabay,358508,wet coastal rocks dawn,0.1287362591922283,0.1587362591922283,3840,2160,29.0,Our_Planet,https://pixabay.com/videos/id-358508/,B002_PIXABAY_358508.mp4,reused,
B003,1,library,pexels:36402891,pexels,36402891,walker shoreline wide,0.1690712296962738,0.1990712296962738,3840,2160,17.0,Efrem  Efre,https://www.pexels.com/video/black-and-white-landscape-of-frozen-sea-36402891/,B003_PEXELS_36402891.mp4,reused,
B003,2,library,pexels:10541053,pexels,10541053,walker shoreline wide,0.1485619281977415,0.1785619281977415,3840,2160,27.0,Aleks BM,https://www.pexels.com/video/sea-waves-on-shore-10541053/,B003_PEXELS_10541053.mp4,reused,
B004,1,library,pixabay:74888,pixabay,74888,ocean first light horizon,0.1609144972264767,0.1909144972264767,3840,2160,36.0,daniloriba,https://pixabay.com/videos/id-74888/,B004_PIXABAY_74888.mp4,reused,
B004,2,library,pexels:34834947,pexels,34834947,coast morning wide,0.14404422309994697,0.17404422309994697,1920,1080,28.0,Nothing Ahead,https://www.pexels.com/video/calm-ocean-waves-at-daytime-34834947/,B004_PEXELS_34834947.mp4,reused,
B005,1,library,pexels:34848383,pexels,34848383,birds flying morning,0.1601161865144968,0.1901161865144968,3840,2160,25.0,Dikunj  Vaghela,https://www.pexels.com/video/serene-water-birds-at-sunrise-in-winter-34848383/,B005_PEXELS_34848383.mp4,reused,
B005,2,library,pixabay:59291,pixabay,59291,birds coast sunrise,0.1441292952373624,0.1741292952373624,3840,2160,19.0,trilemedia,https://pixabay.com/videos/id-59291/,B005_PIXABAY_59291.mp4,reused,
B006,1,library,pixabay:216058,pixabay,216058,shore landscape sunrise,0.15780110187828542,0.18780110187828541,3840,2160,33.0,Drone_Aventura,https://pixabay.com/videos/id-216058/,B006_PIXABAY_216058.mp4,reused,
B006,2,library,pixabay:18390,pixabay,18390,coastal clouds aerial,0.14961639097332954,0.17641639097332953,3840,2160,11.0,Nature-Stock-Footage,https://pixabay.com/videos/id-18390/,B006_PIXABAY_18390.mp4,reused,
B007,1,library,pixabay:66810,pixabay,66810,coastal grass morning,0.180014960244298,0.210014960244298,3840,2160,28.0,JustYøu,https://pixabay.com/videos/id-66810/,B007_PIXABAY_66810.mp4,reused,
B007,2,library,pexels:4248050,pexels,4248050,sea breeze meadow dawn,0.17950540003180504,0.20950540003180504,1920,1080,26.0,Matthias Groeneveld,https://www.pexels.com/video/video-of-grassfield-4248050/,B007_PEXELS_4248050.mp4,reused,
B008,1,library,pexels:3507469,pexels,3507469,birds flying morning,0.14614966973662377,0.17614966973662377,3840,2160,20.0,NSU MON,https://www.pexels.com/video/a-chirping-bird-perch-on-the-tip-of-a-steel-bar-3507469/,B008_PEXELS_3507469.mp4,reused,
B008,2,library,pexels:15499553,pexels,15499553,birds coast sunrise,0.141033353805542,0.171033353805542,3840,2160,26.0,Ash Haghighi,https://www.pexels.com/video/sunset-15499553/,B008_PEXELS_15499553.mp4,reused,
B009,1,library,pexels:31807899,pexels,31807899,misty trees morning,0.15964483857154846,0.18964483857154846,3840,2160,25.0,Matthias Groeneveld,https://www.pexels.com/video/sunlit-forest-pathway-in-serene-woodland-31807899/,B009_PEXELS_31807899.mp4,reused,
B009,2,library,pexels:10579237,pexels,10579237,forest morning aerial,0.15139787118881942,0.18139787118881942,3840,2160,36.0,Traveling on  the Go,https://www.pexels.com/video/birds-eye-view-of-a-winding-stream-near-a-forest-10579237/,B009_PEXELS_10579237.mp4,reused,
B010,1,library,pexels:27065367,pexels,27065367,field first light,0.15115641221404078,0.18115641221404077,3840,2160,22.0,Matthias Groeneveld,https://www.pexels.com/video/the-sun-shines-through-the-trees-in-the-woods-27065367/,B010_PEXELS_27065367.mp4,reused,
B010,2,library,pixabay:39832,pixabay,39832,meadow morning wide,0.13436982236802578,0.16436982236802578,3840,2160,20.0,adege,https://pixabay.com/videos/id-39832/,B010_PIXABAY_39832.mp4,reused,
B011,1,library,pexels:29581749,pexels,29581749,tidal river sunrise,0.1799101160466671,0.2099101160466671,3840,2160,59.0,Aaron Burden,https://www.pexels.com/video/aerial-view-of-serene-river-and-misty-landscape-29581749/,B011_PEXELS_29581749.mp4,reused,
B011,2,library,pexels:2711145,pexels,2711145,coastal watershed drone,0.17663285672664644,0.20663285672664644,3840,2160,16.0,K,https://www.pexels.com/video/drone-footage-of-the-thick-fog-on-a-mountain-forest-2711145/,B011_PEXELS_2711145.mp4,reused,
