beat_id,rank,origin,asset_id,provider,video_id,query,semantic_score,final_score,width,height,duration,contributor,page_url,filename,status,error
B001,1,online,pixabay:33194,pixabay,33194,ocean blue hour,0.15213544458150863,0.19213544458150864,3840,2160,40.0,RobertoMyLife,https://pixabay.com/videos/id-33194/,B001_PIXABAY_33194.mp4,downloaded,
B001,2,online,pexels:30427772,pexels,30427772,calm sea before sunrise,0.14614407256990672,0.17614407256990672,1920,1080,22.0,Marianna Sigov,https://www.pexels.com/video/serene-ocean-horizon-at-sunrise-30427772/,B001_PEXELS_30427772.mp4,downloaded,
B002,1,library,pexels:27546116,pexels,27546116,wet coastal rocks dawn,0.12284332193434239,0.15284332193434239,3840,2160,16.0,Ünal Karabiber,https://www.pexels.com/video/a-small-stream-runs-through-a-lush-green-forest-27546116/,B002_PEXELS_27546116.mp4,reused,
B002,2,library,pexels:35214756,pexels,35214756,wet coastal rocks dawn,0.1146424213051796,0.1446424213051796,3840,2160,21.0,Acres of Film,https://www.pexels.com/video/tranquil-autumn-stream-with-fallen-leaves-35214756/,B002_PEXELS_35214756.mp4,reused,
B003,1,library,pexels:11675458,pexels,11675458,open hands beach dawn,0.11663861587643623,0.14663861587643623,3840,2160,25.0,Sergei Skrynnik,https://www.pexels.com/video/aerial-view-of-a-river-in-the-mountains-in-altai-11675458/,B003_PEXELS_11675458.mp4,reused,
B003,2,library,pexels:13980197,pexels,13980197,open hands beach dawn,0.11639473453164101,0.146394734531641,3840,2160,45.0,James Cover,https://www.pexels.com/video/birds-flying-off-lake-and-fisherman-on-lake-13980197/,B003_PEXELS_13980197.mp4,reused,
B004,1,library,pexels:27298103,pexels,27298103,open Bible ocean sunrise,0.11380289968848228,0.14300289968848226,3840,2160,14.0,Agung Pandit Wiguna,https://www.pexels.com/video/a-foggy-landscape-with-rocks-and-trees-27298103/,B004_PEXELS_27298103.mp4,reused,
B004,2,online,pixabay:74888,pixabay,74888,open Bible ocean sunrise,0.14115824453532697,0.18115824453532697,3840,2160,36.0,daniloriba,https://pixabay.com/videos/id-74888/,B004_PIXABAY_74888.mp4,downloaded,
B005,1,library,pexels:31986473,pexels,31986473,golden coast dawn,0.1502764170616865,0.1802764170616865,3840,2160,16.0,Christopher Borges,https://www.pexels.com/video/sunrise-with-mist-over-foggy-river-31986473/,B005_PEXELS_31986473.mp4,reused,
B005,2,library,pexels:29581749,pexels,29581749,ocean sunrise aerial,0.1442749620974064,0.1742749620974064,3840,2160,59.0,Aaron Burden,https://www.pexels.com/video/aerial-view-of-serene-river-and-misty-landscape-29581749/,B005_PEXELS_29581749.mp4,reused,
B006,1,library,pixabay:66810,pixabay,66810,shoreline first light,0.1426786744594574,0.1726786744594574,3840,2160,28.0,JustYøu,https://pixabay.com/videos/id-66810/,B006_PIXABAY_66810.mp4,reused,
B006,2,library,pexels:31807934,pexels,31807934,shoreline first light,0.13814356453716756,0.16814356453716756,3840,2160,21.0,Matthias Groeneveld,https://www.pexels.com/video/serene-sunrise-through-forest-trees-31807934/,B006_PEXELS_31807934.mp4,reused,
B007,1,library,pexels:4248050,pexels,4248050,sunrise over calm sea,0.12276654769480227,0.15276654769480227,1920,1080,26.0,Matthias Groeneveld,https://www.pexels.com/video/video-of-grassfield-4248050/,B007_PEXELS_4248050.mp4,reused,
B007,2,library,pexels:27141740,pexels,27141740,steady coastal rock,0.12125792276114225,0.15125792276114225,3840,2160,49.0,Matthias Groeneveld,https://www.pexels.com/video/a-person-walking-down-a-path-in-the-woods-27141740/,B007_PEXELS_27141740.mp4,reused,
B008,1,library,pexels:5909382,pexels,5909382,calm ocean close up,0.11444791793823242,0.14444791793823242,3840,2160,24.0,Yaroslav Shuraev,https://www.pexels.com/video/moss-on-the-ground-5909382/,B008_PEXELS_5909382.mp4,reused,
B009,1,library,pexels:15499553,pexels,15499553,birds coast sunrise,0.1463291072845459,0.1763291072845459,3840,2160,26.0,Ash Haghighi,https://www.pexels.com/video/sunset-15499553/,B009_PEXELS_15499553.mp4,reused,
B009,2,library,pixabay:189813,pixabay,189813,seabirds ocean dawn,0.12802338391542434,0.15802338391542434,3840,2160,23.0,Matthias_Groeneveld,https://pixabay.com/videos/id-189813/,B009_PIXABAY_189813.mp4,reused,
B010,1,library,pexels:14057075,pexels,14057075,golden shoreline morning,0.137008984764417,0.167008984764417,2560,1440,20.0,Carsten Link,https://www.pexels.com/video/sunlight-through-trees-14057075/,B010_PEXELS_14057075.mp4,reused,
B010,2,library,pixabay:91342,pixabay,91342,sun reflection ocean,0.12987982738763093,0.15987982738763093,3840,2160,30.0,extemporalist,https://pixabay.com/videos/id-91342/,B010_PIXABAY_91342.mp4,reused,
B011,1,library,pexels:38053795,pexels,38053795,tide pool sunrise,0.14292385816574096,0.17292385816574096,3840,2160,47.0,Engin Akyurt,https://www.pexels.com/video/macro-view-of-moss-covered-rock-surface-38053795/,B011_PEXELS_38053795.mp4,reused,
B011,2,library,pixabay:174860,pixabay,174860,coastal light detail,0.12845520690083503,0.15845520690083503,3840,2160,28.0,Alex_Sochi7777,https://pixabay.com/videos/id-174860/,B011_PIXABAY_174860.mp4,reused,
B012,1,library,pexels:13933588,pexels,13933588,coast morning aerial,0.14000604167580605,0.17000604167580605,3840,2160,22.0,Max Parada,https://www.pexels.com/video/clouds-over-hills-on-sea-shore-13933588/,B012_PEXELS_13933588.mp4,reused,
B012,2,library,pixabay:216058,pixabay,216058,ocean sunrise drone,0.12755782693624498,0.15755782693624498,3840,2160,33.0,Drone_Aventura,https://pixabay.com/videos/id-216058/,B012_PIXABAY_216058.mp4,reused,
B013,1,library,pixabay:287510,pixabay,287510,sunlight wet sand,0.12752647191286087,0.15752647191286087,3840,2160,16.0,Thamnguyen_TBVN,https://pixabay.com/videos/id-287510/,B013_PIXABAY_287510.mp4,reused,
B013,2,library,pixabay:59291,pixabay,59291,coastal mist sunrise,0.12332128822803498,0.15332128822803498,3840,2160,19.0,trilemedia,https://pixabay.com/videos/id-59291/,B013_PIXABAY_59291.mp4,reused,
B014,1,library,pexels:31626509,pexels,31626509,open Bible coast light,0.12693828135728835,0.15693828135728835,3840,2160,27.0,David Kanigan,https://www.pexels.com/video/serene-sunrise-over-stamford-s-cove-island-park-31626509/,B014_PEXELS_31626509.mp4,reused,
B014,2,library,pexels:17992784,pexels,17992784,open Bible coast light,0.11852780148386954,0.14852780148386954,3840,2160,37.0,Sacha Moreau,https://www.pexels.com/video/a-picnic-table-in-the-woods-with-the-sun-shining-through-17992784/,B014_PEXELS_17992784.mp4,reused,
B015,1,library,pexels:31194456,pexels,31194456,seabirds wet sand,0.1466633550450206,0.1766633550450206,4096,2160,59.0,Engin Akyurt,https://www.pexels.com/video/serene-stream-flowing-over-mossy-rocks-31194456/,B015_PEXELS_31194456.mp4,reused,
